Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-pho.json	3481	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	102	69	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-practitionerRole-creator.json	3052	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	190	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-practitionerRole-status-reason.json	1657	1	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	95	78	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-registration-initial-date.json	1520	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	91	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-registration-status-code.json	2981	1	0	2	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	137	79	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-scope-of-practice.json	3028	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	131	80	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-sex-at-birth.json	1931	1	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	90	72	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-suburb.json	2331	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	103	66	0	0	0	0	0	0
input/vocabulary/Ethnicity-CodeSystem.json	371012	17	0	0	0	0	0	0	22	0	0	0	1	0	0	0	0	1	0	0	472	2998	0	0	0	8	0	5
input/vocabulary/Ethnicityfull-ValueSet.json	1595	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	1917	0	0	0	0	0	0
input/vocabulary/MaoriDescentValueset-ValueSet.json	1342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	1856	0	0	0	0	0	0
input/vocabulary/acc-patient-occupation-ValueSet.json	1343	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	45	1973	0	0	0	0	0	0
input/vocabulary/acc-patient-occupation-code-CodeSystem.json	887155	43	0	0	2	0	0	0	44	0	0	0	3	0	1	0	0	6	0	0	1104	2827	0	0	0	57	0	14
input/vocabulary/alias-type-CodeSystem.json	2326	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1879	0	0	0	0	0	0
input/vocabulary/citizenship-status-CodeSystem.json	1576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	1843	0	0	0	0	0	0
input/vocabulary/contact-point-purpose-CodeSystem.json	1710	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	48	1821	0	0	0	0	0	0
input/vocabulary/contact-point-purpose-ValueSet.json	1456	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	45	1857	0	0	0	1	0	0
input/vocabulary/coverage-category-CodeSystem.json	1332	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	39	1843	0	0	0	0	0	0
input/vocabulary/coverage-category-ValueSet.json	1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	1859	0	0	0	0	0	0
input/vocabulary/coverage-type-CodeSystem.json	1636	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	52	1854	0	0	0	0	0	0
